iter	MultiClass
0	2.185647725
1	2.087491392
2	1.991077226
3	1.912812291
4	1.837670805
5	1.764679328
6	1.697029024
7	1.632770654
8	1.563145152
9	1.509264812
10	1.456379907
11	1.411362691
12	1.366572312
13	1.326960073
14	1.290428772
15	1.257522853
16	1.226061877
17	1.193920906
18	1.161096496
19	1.13585698
20	1.109996191
21	1.085421027
22	1.061180826
23	1.040578099
24	1.018803587
25	0.9970423477
26	0.9782692343
27	0.9595090351
28	0.9410076302
29	0.9256829842
30	0.9097788078
31	0.8910320885
32	0.8757242818
33	0.8616846712
34	0.8493369017
35	0.8364302761
36	0.8227793348
37	0.8085871993
38	0.7974823153
39	0.7850509123
40	0.7719970932
41	0.7607186499
42	0.7507848008
43	0.7408644171
44	0.7332217108
45	0.7222798841
46	0.7105726198
47	0.7025032327
48	0.6935688466
49	0.685248508
50	0.6756995083
51	0.667454892
52	0.6594671473
53	0.6505600786
54	0.642529054
55	0.6339510114
56	0.6256151254
57	0.6174246036
58	0.6110472239
59	0.6048279025
60	0.5974130507
61	0.5912419219
62	0.5846286196
63	0.5777408729
64	0.5718633482
65	0.5647748958
66	0.5585023273
67	0.551759672
68	0.546273192
69	0.5386750848
70	0.5337188185
71	0.5276339851
72	0.522293058
73	0.5170968555
74	0.5120658316
75	0.50635977
76	0.5004204209
77	0.4945255182
78	0.490343506
79	0.4866868754
80	0.4825966524
81	0.4772738213
82	0.4722010663
83	0.4684040089
84	0.4641633658
85	0.4602102065
86	0.4544896339
87	0.4515710744
88	0.4472577764
89	0.4430048396
90	0.439275343
91	0.4364151007
92	0.4329597698
93	0.4283926658
94	0.4232170411
95	0.4204427401
96	0.416398053
97	0.4136998507
98	0.4099738501
99	0.4060026469
100	0.4024817561
101	0.3998300565
102	0.3974153516
103	0.394840955
104	0.3908525709
105	0.386879069
106	0.3823529501
107	0.3797259514
108	0.3765960208
109	0.3734451553
110	0.3691242333
111	0.3661705131
112	0.363605114
113	0.3598736312
114	0.3575595972
115	0.3547717177
116	0.3517121462
117	0.3500886642
118	0.3475734171
119	0.3451258068
120	0.3427339132
121	0.3401206356
122	0.336067056
123	0.333908724
124	0.3320648032
125	0.3289671662
126	0.3270613593
127	0.3235660637
128	0.3216862685
129	0.3199336276
130	0.317473478
131	0.3163559126
132	0.3143428493
133	0.3116006025
134	0.3091288319
135	0.3067983044
136	0.3049479333
137	0.302932736
138	0.3011717474
139	0.2997837592
140	0.2967095253
141	0.2946004381
142	0.2927797727
143	0.2915040346
144	0.2899435688
145	0.2881740815
146	0.287036901
147	0.285918325
148	0.2831261217
149	0.2811951514
150	0.2793671984
151	0.2778339042
152	0.2764732909
153	0.2748917828
154	0.2727256411
155	0.270588184
156	0.2700127248
157	0.2689694924
158	0.2679638014
159	0.26735493
160	0.2665025234
161	0.2653585072
162	0.2648240343
163	0.2636912282
164	0.2622364331
165	0.261419315
166	0.2600346194
167	0.2583406501
168	0.2566606373
169	0.2556788231
170	0.2545155859
171	0.2530837207
172	0.2515301383
173	0.2504953531
174	0.2497102772
175	0.2488477092
176	0.2469520563
177	0.2462431484
178	0.2448544358
179	0.2437410119
180	0.2426262608
181	0.2413566813
182	0.240734075
183	0.2395211539
184	0.2389805528
185	0.2384154842
186	0.2376702084
187	0.2371285103
188	0.2355736013
189	0.235055475
190	0.2331649014
191	0.2316696867
192	0.2307894709
193	0.2294068282
194	0.2282760086
195	0.2274687335
196	0.2270937162
197	0.2262677366
198	0.2253406958
199	0.2244752922
200	0.2233025941
201	0.2229443135
202	0.2212636374
203	0.2204626196
204	0.2195243661
205	0.2181587778
206	0.2169658956
207	0.2165197025
208	0.2156212416
209	0.2147060372
210	0.2136416083
211	0.2131500727
212	0.2126312498
213	0.2115821616
214	0.2108603354
215	0.2096579247
216	0.2085592588
217	0.2075101816
218	0.2067625509
219	0.2058339078
220	0.2050060033
221	0.2042455646
222	0.2030161423
223	0.2023259615
224	0.2019867018
225	0.2015809714
226	0.2004426275
227	0.1996343514
228	0.1989315549
229	0.1986367218
230	0.1980203488
231	0.1972344794
232	0.1963787336
233	0.1956463538
234	0.1949117775
235	0.1938899967
236	0.1930647423
237	0.1925110384
238	0.1922269688
239	0.1914621349
240	0.1905666807
241	0.1901713128
242	0.1898813883
243	0.1892868702
244	0.1890354113
245	0.1879618568
246	0.1876069921
247	0.186376723
248	0.1855166839
249	0.1844557588
250	0.1840772099
251	0.1834761196
252	0.1828384992
253	0.1821308677
254	0.181520187
255	0.1805821453
256	0.180124569
257	0.1797565497
258	0.1789928748
259	0.1780917933
260	0.1776408969
261	0.1771820024
262	0.1765146571
263	0.1759233782
264	0.1755758925
265	0.1748223213
266	0.1739443554
267	0.1731427656
268	0.1723507645
269	0.1717104065
270	0.1711900195
271	0.1707692421
272	0.1699677215
273	0.1696968372
274	0.1694387921
275	0.1690165825
276	0.1685495755
277	0.1680732175
278	0.1674228674
279	0.1671602401
280	0.1662719002
281	0.1660798249
282	0.1655863757
283	0.1653890577
284	0.1650590235
285	0.1643427434
286	0.1640418152
287	0.1634774766
288	0.1630396728
289	0.162355057
290	0.1620297136
291	0.1615945338
292	0.1605953627
293	0.1602222748
294	0.1596007695
295	0.1590788433
296	0.158264101
297	0.1579176842
298	0.1575898794
299	0.1571555541
300	0.1565588824
301	0.1562947802
302	0.1556613248
303	0.15475212
304	0.1545820822
305	0.1542166233
306	0.1539448028
307	0.1532591011
308	0.152687788
309	0.15217369
310	0.151199768
311	0.1510155581
312	0.1506465349
313	0.1498828025
314	0.1495127126
315	0.1492918089
316	0.1491277497
317	0.1486809612
318	0.1483876996
319	0.1479775599
320	0.1474819051
321	0.1469308505
322	0.1467120405
323	0.1464724225
324	0.1458918365
325	0.1454011111
326	0.1451074001
327	0.1446584545
328	0.1437941071
329	0.1434281579
330	0.143167933
331	0.142496757
332	0.1421359345
333	0.1413848998
334	0.1406270579
335	0.140284726
336	0.1401329846
337	0.1398611434
338	0.139627212
339	0.1393846336
340	0.1390822777
